Date,Google_Trends
2005-01-01,37
2005-01-02,68
2005-01-03,56
2005-01-04,82
2005-01-05,42
2005-01-06,61
2005-01-07,36
2005-01-08,67
2005-01-09,43
2005-01-10,53
2005-01-11,45
2005-01-12,46
2005-01-13,58
2005-01-14,59
2005-01-15,37
2005-01-16,50
2005-01-17,60
2005-01-18,42
2005-01-19,63
2005-01-20,59
2005-01-21,60
2005-01-22,29
2005-01-23,40
2005-01-24,62
2005-01-25,47
2005-01-26,44
2005-01-27,65
2005-01-28,66
2005-01-29,35
2005-01-30,65
2005-01-31,44
2005-02-01,37
2005-02-02,73
2005-02-03,39
2005-02-04,46
2005-02-05,47
2005-02-06,39
2005-02-07,65
2005-02-08,46
2005-02-09,51
2005-02-10,55
2005-02-11,47
2005-02-12,46
2005-02-13,37
2005-02-14,42
2005-02-15,44
2005-02-16,65
2005-02-17,49
2005-02-18,52
2005-02-19,45
2005-02-20,60
2005-02-21,57
2005-02-22,51
2005-02-23,39
2005-02-24,61
2005-02-25,44
2005-02-26,41
2005-02-27,66
2005-02-28,70
2005-03-01,43
2005-03-02,35
2005-03-03,41
2005-03-04,47
2005-03-05,40
2005-03-06,20
2005-03-07,52
2005-03-08,54
2005-03-09,41
2005-03-10,39
2005-03-11,64
2005-03-12,56
2005-03-13,61
2005-03-14,48
2005-03-15,35
2005-03-16,40
2005-03-17,50
2005-03-18,37
2005-03-19,44
2005-03-20,48
2005-03-21,69
2005-03-22,38
2005-03-23,61
2005-03-24,55
2005-03-25,20
2005-03-26,63
2005-03-27,43
2005-03-28,38
2005-03-29,53
2005-03-30,32
2005-03-31,40
2005-04-01,38
2005-04-02,34
2005-04-03,34
2005-04-04,100
2005-04-05,0
2005-04-06,58
2005-04-07,45
2005-04-08,46
2005-04-09,44
2005-04-10,42
2005-04-11,51
2005-04-12,48
2005-04-13,25
2005-04-14,66
2005-04-15,52
2005-04-16,40
2005-04-17,29
2005-04-18,35
2005-04-19,28
2005-04-20,50
2005-04-21,44
2005-04-22,49
2005-04-23,27
2005-04-24,34
2005-04-25,43
2005-04-26,36
2005-04-27,41
2005-04-28,48
2005-04-29,37
2005-04-30,27
2005-05-01,47
2005-05-02,50
2005-05-03,60
2005-05-04,37
2005-05-05,52
2005-05-06,34
2005-05-07,44
2005-05-08,35
2005-05-09,39
2005-05-10,49
2005-05-11,34
2005-05-12,43
2005-05-13,33
2005-05-14,42
2005-05-15,38
2005-05-16,59
2005-05-17,48
2005-05-18,26
2005-05-19,41
2005-05-20,37
2005-05-21,49
2005-05-22,38
